Date,Open,High,Low,Close,Adj Close,Volume
2016-02-24,63.396057,64.417564,63.297489,64.256271,53.749008,3026592
2016-02-25,64.426521,65.098564,64.381721,65.035843,54.401104,2454642
2016-02-26,65.053764,65.062721,64.534050,64.543015,53.988861,3439847
2016-02-29,64.032257,64.569893,63.673836,63.718639,53.299294,2388910
2016-03-01,64.623657,65.322578,64.283157,65.268814,54.595982,2926487
2016-03-02,65.017921,65.869179,64.973122,65.797493,55.038204,2834305
2016-03-03,65.232971,65.430107,64.982079,65.367386,54.678432,2928496
2016-03-04,64.650536,64.982079,64.327957,64.695343,54.116287,2399177
2016-03-07,64.265236,65.206093,64.139786,64.946236,54.326149,2325074
2016-03-08,64.973122,65.179214,64.668457,64.704300,54.123775,1829905
2016-03-09,64.811829,65.053764,64.623657,64.892471,54.281178,1399464
2016-03-10,65.958778,66.496414,65.206093,65.743729,54.993237,3926534
2016-03-11,65.958778,66.729393,65.887100,66.702507,55.795235,1887379
2016-03-14,66.424728,66.487457,66.048386,66.075272,55.270569,1641971
2016-03-15,65.743729,65.824371,65.170250,65.322578,54.640949,3863369
2016-03-16,65.000000,65.815414,64.892471,65.672043,54.933273,2080112
2016-03-17,65.349464,65.905022,65.197136,65.663078,54.925774,2183454
2016-03-18,64.551971,65.143372,64.534050,65.125450,54.476059,3767393
2016-03-21,65.456985,66.173836,65.448029,66.021507,55.225594,2110691
2016-03-22,65.878136,66.917564,65.842293,66.657707,55.757759,1922645
2016-03-23,67.078850,67.087814,66.084229,66.227600,55.397984,3059849
2016-03-24,65.672043,65.833336,65.313622,65.681007,54.940769,1519211
2016-03-28,65.860214,65.958778,65.197136,65.528671,54.813347,1483387
2016-03-29,64.157707,64.892471,63.718639,64.838707,54.236206,4232765
2016-03-30,64.937279,65.367386,64.829750,65.008965,54.378620,2984742
2016-03-31,65.035843,65.313622,64.874550,64.910393,54.296165,2171178
2016-04-01,62.643368,64.112900,62.634411,63.978497,53.516655,3586601
2016-04-04,65.008965,65.421150,64.919357,65.170250,54.513535,2537561
2016-04-05,64.749107,65.170250,64.489250,65.053764,54.416096,3227360
2016-04-06,65.564514,67.401436,65.555557,67.302864,56.297424,3906223
2016-04-07,67.356628,67.517921,66.890678,67.132614,56.155010,2285456
2016-04-08,67.338707,67.777779,67.168457,67.401436,56.379871,1650676
2016-04-11,67.688171,67.786736,67.258064,67.302864,56.297424,2342038
2016-04-12,66.908600,67.482079,66.406807,67.374550,56.357384,1840619
